Date    ,Open      ,High      ,Low       ,Close     ,Trans Amount,SSE_idx    ,HSI_idx    ,PE_idx,RSI_idx    ,ADR_Close,ADR_Close_HK,big_buddy,Short_selling
14/5/14 ,103.300003,103.300003,99.760002 ,102.800003,2061638640  ,2047.910034,22582.76953,44.413,           ,14.212   ,110.8536    ,         ,
14/5/15 ,102.800003,112       ,107.900002,108.800003,5624289294  ,2024.973999,22730.85938,43.553,           ,13.936   ,108.7008    ,         ,
14/5/16 ,108.800003,108.800003,108.800003,108.800003,0           ,2026.504028,22712.91016,43.438,           ,13.9     ,108.42      ,         ,
14/5/19 ,107       ,108.300003,106.099998,107.599998,1681791089  ,2005.182983,22704.5    ,43.67 ,           ,13.976   ,109.0128    ,         ,
14/5/20 ,109.5     ,112       ,108.800003,111.900002,3570895235  ,2008.119019,22834.67969,45.125,           ,14.44    ,112.632     ,         ,
14/5/21 ,111.199997,113.800003,111.099998,111.699997,2644463025  ,2024.95105 ,22836.51953,45.688,           ,14.62    ,114.036     ,         ,
14/5/22 ,113.599998,113.599998,111.400002,112.300003,3013165290  ,2021.285034,22953.75977,45.844,           ,14.67    ,114.426     ,         ,
14/5/23 ,112.300003,113       ,110.5     ,111.099998,2107938703  ,2034.56897 ,22965.85938,45    ,           ,14.4     ,112.32      ,         ,
14/5/26 ,112       ,112.599998,110.300003,111.400002,1340603554  ,2041.475952,22963.17969,45    ,           ,         ,0           ,         ,
14/5/27 ,111.800003,111.800003,110.900002,111.400002,876581884.9 ,2034.564941,22944.30078,44.906,           ,14.37    ,112.086     ,         ,
14/5/28 ,113.599998,114       ,111.800003,113.300003,2702077836  ,2050.228027,23080.0293 ,45.625,           ,14.6     ,113.88      ,         ,
14/5/29 ,114       ,114.5     ,109.800003,109.800003,1769184171  ,2040.594971,23010.14063,44.531,           ,14.25    ,111.15      ,         ,
14/5/30 ,110.199997,111.599998,108.5     ,109.300003,2425434833  ,2039.212036,23081.65039,44.125,           ,14.12    ,110.136     ,         ,
14/6/3  ,110.900002,112.300003,109.099998,112       ,2344478080  ,2038.305054,23291.03906,45    ,           ,14.4     ,112.32      ,         ,
14/6/4  ,112       ,112       ,109       ,109.199997,1406712723  ,2024.833984,23151.71094,44.094,62.69838568,14.11    ,110.058     ,         ,
14/6/5  ,110       ,110.5     ,107.699997,108.400002,1661503741  ,2040.878052,23109.66016,44.375,48.99999875,14.2     ,110.76      ,         ,
14/6/6  ,110       ,111       ,108.099998,108.199997,1785767374  ,2029.956055,22951      ,44.031,48.51483884,14.09    ,109.902     ,         ,
14/6/9  ,109       ,110.800003,108.800003,110.599998,1947233408  ,2030.501953,23117.4707 ,44.96 ,57.00933728,14.39    ,112.242     ,         ,
14/6/10 ,111.5     ,114       ,110.099998,113.5     ,2813407469  ,2052.531982,23315.74023,45.828,53.9999902 ,14.67    ,114.426     ,         ,
14/6/11 ,115       ,116.5     ,113.800003,116.400002,3141643504  ,2054.947998,23257.28906,46.344,60.35242434,14.83    ,115.674     ,         ,
14/6/12 ,117.199997,119.5     ,115       ,115.599998,3306538880  ,2051.712891,23175.01953,46.031,57.20522328,14.73    ,114.894     ,         ,
14/6/13 ,113.800003,116.800003,113.800003,116.099998,1310095830  ,2070.715088,23319.16992,46.625,61.26125416,14.92    ,116.376     ,         ,
14/6/16 ,117       ,117.900002,116.099998,116.599998,1371168170  ,2085.98291 ,23300.66992,46.531,61.60712875,14.89    ,116.142     ,         ,
14/6/17 ,115.400002,116.599998,114.599998,115.599998,1261039918  ,2066.697998,23203.58984,46.563,58.97434659,14.9     ,116.22      ,         ,
14/6/18 ,116       ,117.300003,115.5     ,116.199997,2220978533  ,2055.519043,23181.7207 ,47.225,56.56107002,15.11    ,117.858     ,         ,
14/6/19 ,117.199997,118       ,115.099998,115.800003,1648354101  ,2023.734985,23167.73047,46.594,65.78947202,14.91    ,116.298     ,         ,
